Workers,Size,Walltime(s)
1,1000,158.718258
2,1414,158.334947
4,2000,264.790473
8,2828,321.363094
16,4000,336.350950
32,5657,344.811326
48,6928,347.810648
64,8000,361.313652
96,9798,359.126277
128,11314,365.499533
160,12649,356.565911
192,13856,356.087006
224,14967,357.144444
256,16000,364.616803
