Workers,Size,Walltime(s)
1,1000,158.374072
2,1414,157.535466
4,2000,261.532488
8,2828,317.128860
16,4000,333.659695
24,4899,338.035779
32,5657,342.806792
40,6325,343.392097
48,6928,344.689786
56,7483,346.224438
64,8000,345.896802
