Workers,Size,Walltime(s)
1,1000,65.923945
2,1414,80.270839
4,2000,84.297772
8,2828,87.509226
16,4000,88.110029
32,5657,89.069282
48,6928,90.948869
64,8000,91.088628
96,9798,145.972624
128,11314,184.406008
160,12649,229.383556
192,13856,285.617826
224,14967,321.102986
256,16000,370.626584
