Algorithm,Processors,Avg_Latency(us)
4,16,12.72
4,32,2767.31
4,48,122.39
4,64,8.40
4,96,9.75
4,128,11.18
4,176,5900.85
4,224,6759.27
4,256,3677.27
0,2,3435.44
0,4,223.98
0,8,290.47
0,16,58.05
0,32,35.64
0,48,50.54
0,64,7.13
0,96,17.54
0,128,18.02
0,176,6005.34
0,224,6040.24
0,256,141.19
1,2,4012.22
1,4,147.56
1,8,6776.00
1,16,25.55
1,32,7587.98
1,48,57.99
1,64,167.58
1,96,294.15
1,128,374.37
1,176,2242.80
1,224,3881.60
1,256,4844.73
2,2,5.14
2,4,9.82
2,8,45.86
2,16,90.80
2,32,210.46
2,48,345.43
2,64,2288.54
2,96,3348.09
2,128,4643.04
2,176,40241.37
2,224,17343.07
2,256,17725.10
4,2,3.52
4,4,6370.59
4,8,2437.13
4,16,137.72
4,32,43.18
4,48,4251.89
4,64,7.01
4,96,11.70
4,128,177.78
4,176,6304.26
4,224,6686.99
4,256,4943.11
0,2,3362.86
0,4,127.71
0,8,99.13
0,16,9.20
0,32,409.14
0,48,76.14
0,64,7.95
0,96,9.27
0,128,9.88
0,176,6350.04
0,224,7333.06
0,256,130.70
1,2,15.63
1,4,9389.35
1,8,19.67
1,16,23.58
1,32,40.22
1,48,306.05
1,64,178.27
1,96,293.90
1,128,450.67
1,176,2213.67
1,224,3936.59
1,256,4760.42
2,2,7.21
2,4,13.68
2,8,36.80
2,16,91.18
2,32,212.88
2,48,346.83
2,64,2227.22
2,96,3237.36
2,128,4763.60
2,176,12904.54
2,224,31910.56
2,256,16994.84
4,2,2186.58
4,4,5033.11
4,8,5754.59
4,16,22.62
4,32,25.93
4,48,149.13
4,64,452.45
4,96,11.75
4,128,6.64
4,176,5545.70
4,224,6490.70
4,256,6912.28
0,2,3.56
0,4,13.40
0,8,248.79
0,16,16.25
0,32,20.63
0,48,59.07
0,64,6.37
0,96,6.84
0,128,9.12
0,176,5608.30
0,224,7835.59
0,256,147.25
1,2,6.14
1,4,4134.70
1,8,13.91
1,16,19.83
1,32,23.50
1,48,5256.36
1,64,168.51
1,96,304.71
1,128,505.23
1,176,2170.85
1,224,3871.00
1,256,4749.23
2,2,12.86
2,4,16.33
2,8,46.18
2,16,88.34
2,32,224.44
2,48,318.81
2,64,2186.19
2,96,3312.88
2,128,4614.66
2,176,12512.52
2,224,17042.81
2,256,31326.46
4,2,182.16
4,4,148.01
4,8,14.30
4,16,1698.37
4,32,35.02
4,48,56.88
4,64,693.70
4,96,12.60
4,128,63.03
4,176,7280.31
4,224,6233.59
4,256,6504.30
0,2,3404.44
0,4,20.47
0,8,17.38
0,16,22.28
0,32,3240.68
0,48,60.25
0,64,8.72
0,96,19.81
0,128,8.97
0,176,7461.86
0,224,7050.64
0,256,166.44
1,2,9.51
1,4,7.60
1,8,9114.42
1,16,16.41
1,32,25.12
1,48,29.85
1,64,164.34
1,96,298.03
1,128,431.49
1,176,2246.32
1,224,3837.84
1,256,4696.22
2,2,5.48
2,4,14.83
2,8,35.48
2,16,110.02
2,32,238.42
2,48,352.05
2,64,2325.83
2,96,3326.46
2,128,4822.68
2,176,38409.26
2,224,33547.99
2,256,37200.91
4,2,95.29
4,4,15.38
4,8,2856.91
4,16,30.63
4,32,29.01
4,48,404.64
4,64,8.14
4,96,9.24
4,128,8.70
4,176,2983.71
4,224,7296.01
4,256,6170.43
0,2,4028.16
0,4,35.19
0,8,17.88
0,16,581.22
0,32,3628.99
0,48,49.38
0,64,7.01
0,96,13.13
0,128,18.61
0,176,5126.20
0,224,7281.12
0,256,151.79
1,2,16.35
1,4,359.05
1,8,9.91
1,16,483.01
1,32,7810.42
1,48,43.31
1,64,160.38
1,96,290.73
1,128,417.25
1,176,2443.32
1,224,3758.23
1,256,4766.05
2,2,9.61
2,4,20.55
2,8,51.01
2,16,105.33
2,32,233.35
2,48,333.27
2,64,2254.40
2,96,3281.66
2,128,4893.47
2,176,43212.09
2,224,33120.87
2,256,30729.67
4,2,3586.50
4,4,3667.23
4,8,21.15
4,16,1833.25
4,32,3654.60
4,48,2959.89
4,64,11.99
4,96,15.19
4,128,75.74
4,176,6532.75
4,224,7229.25
4,256,5997.22
0,2,3543.85
0,4,20.79
0,8,4735.59
0,16,698.72
0,32,2677.23
0,48,7487.16
0,64,8.28
0,96,6.84
0,128,9.33
0,176,4686.83
0,224,7239.18
0,256,140.11
1,2,5.01
1,4,82.25
1,8,20.44
1,16,6285.49
1,32,3373.67
1,48,362.46
1,64,156.93
1,96,286.49
1,128,384.02
1,176,2173.29
1,224,3774.46
1,256,4771.53
2,2,7.13
2,4,13.63
2,8,42.41
