Algorithm,Processors,Avg_Latency(us)
2,48,2090.99
4,4,237.26
4,8,4.56
4,12,6.76
4,16,12.19
4,20,9.88
4,24,12.48
4,28,28037.31
4,32,32305.95
4,36,39260.56
4,40,18461.15
4,44,23385.85
4,48,16846.91
0,4,9598.58
0,8,4.64
0,12,2730.06
0,16,8.36
0,20,4901.14
0,24,2797.44
0,28,2846.46
0,32,14867.44
0,36,13594.74
0,40,27198.43
0,44,15059.46
0,48,10242.15
1,4,5198.13
1,8,25.93
1,12,40.96
1,16,53.02
1,20,87.50
1,24,95.66
1,28,3295.90
1,32,2146.11
1,36,8503.45
1,40,9081.90
1,44,7640.66
1,48,2090.82
2,4,22.19
2,8,214.40
2,12,479.49
2,16,553.31
2,20,703.37
2,24,1126.05
2,28,930.85
2,32,1294.14
2,36,1501.62
2,40,8217.60
2,44,1882.77
2,48,2114.42
4,4,18.07
4,8,6.85
4,12,3.86
4,16,7.21
4,20,11.21
4,24,14.29
4,28,29797.71
4,32,31817.35
4,36,24828.64
4,40,17503.39
4,44,16118.39
4,48,17465.65
0,4,38.86
0,8,3.70
0,12,2734.31
0,16,7.03
0,20,5030.82
0,24,2740.37
0,28,2607.61
0,32,6211.14
0,36,7998.39
0,40,13372.47
0,44,13314.08
0,48,6529.24
1,4,8900.13
1,8,25.62
1,12,37.38
1,16,60.06
1,20,67.63
1,24,81.76
1,28,3600.95
1,32,2450.47
1,36,9332.30
1,40,1912.94
1,44,7344.85
1,48,1817.64
2,4,19.00
2,8,212.17
2,12,364.71
2,16,669.94
2,20,930.09
2,24,962.75
2,28,932.64
2,32,7078.27
2,36,1489.43
2,40,1701.72
2,44,1896.88
2,48,2095.38
4,4,49.08
4,8,5.76
4,12,5.95
4,16,6.20
4,20,8.01
4,24,5.87
4,28,31911.52
4,32,28315.66
4,36,27786.95
4,40,15236.26
4,44,16456.41
4,48,31072.76
0,4,44.08
0,8,5.21
0,12,2713.79
0,16,5.61
0,20,4901.02
0,24,2841.72
0,28,2865.61
0,32,12710.22
0,36,17243.94
0,40,13862.41
0,44,16088.26
0,48,1289.06
1,4,26.81
1,8,25.54
1,12,89.64
1,16,69.50
1,20,67.40
1,24,133.80
1,28,3527.53
1,32,2016.69
1,36,7464.36
1,40,1909.27
1,44,2017.07
1,48,2085.32
2,4,39.07
2,8,211.37
2,12,398.06
2,16,541.24
2,20,725.97
2,24,1142.21
2,28,944.91
2,32,1298.92
2,36,1521.87
2,40,1693.37
2,44,1888.95
2,48,5975.21
4,4,3952.74
4,8,6.19
4,12,6.34
4,16,13.43
4,20,8.49
4,24,12.90
4,28,31903.17
4,32,32094.44
4,36,19709.39
4,40,21085.94
4,44,13730.74
4,48,16415.38
0,4,29.06
0,8,11.34
0,12,2720.48
0,16,8.50
0,20,4901.62
0,24,2734.41
0,28,2847.60
0,32,2110.77
0,36,14551.26
0,40,13212.54
0,44,13509.48
0,48,5570.33
1,4,4555.34
1,8,26.11
1,12,37.91
1,16,59.94
1,20,63.01
1,24,75.52
1,28,3399.23
1,32,2032.68
1,36,1891.65
1,40,1951.44
1,44,8005.55
1,48,1539.95
2,4,23.86
2,8,207.45
2,12,390.67
2,16,552.95
2,20,737.18
2,24,910.16
2,28,972.01
2,32,1305.55
2,36,1476.29
2,40,1750.63
2,44,1901.96
2,48,2092.06
4,4,132.34
4,8,8.03
4,12,5.63
4,16,8.33
4,20,7.62
4,24,13.35
4,28,35268.17
4,32,29165.69
4,36,23207.70
4,40,25413.23
4,44,8266.72
4,48,24841.92
0,4,14.75
0,8,9.25
0,12,2764.84
0,16,7.06
0,20,4897.59
0,24,2734.00
0,28,2840.38
0,32,5122.99
0,36,33033.04
0,40,16544.72
0,44,12540.26
0,48,5013.07
1,4,38.21
1,8,25.99
1,12,37.28
1,16,46.53
1,20,67.76
1,24,75.37
1,28,3565.37
1,32,2030.14
1,36,1928.76
1,40,8412.04
1,44,1803.14
1,48,1516.47
2,4,20.06
2,8,210.63
2,12,361.93
2,16,560.25
2,20,734.83
2,24,951.32
2,28,943.93
2,32,1322.29
2,36,1518.60
2,40,8216.83
2,44,1887.02
2,48,2119.44
4,4,6708.60
4,8,4.55
4,12,5.75
4,16,30.17
4,20,15.81
4,24,17.03
4,28,38151.14
4,32,25694.08
4,36,23451.01
4,40,21899.33
4,44,13506.09
4,48,19270.73
0,4,25.03
0,8,4.97
0,12,2737.04
0,16,6.38
0,20,4935.52
0,24,2737.86
0,28,1932.11
0,32,1258.30
0,36,26772.73
0,40,18461.63
0,44,12351.33
0,48,3643.71
1,4,29.04
1,8,24.45
1,12,40.12
1,16,75.67
1,20,68.75
1,24,75.94
1,28,3699.62
1,32,1952.69
1,36,1882.72
1,40,1793.87
1,44,1669.81
1,48,1761.36
2,4,20.30
2,8,211.22
2,12,362.01
2,16,540.19
2,20,940.33
2,24,880.54
2,28,915.83
2,32,1321.80
2,36,1480.47
2,40,1726.37
2,44,1887.32
2,48,2103.79
4,4,16.81
4,8,3.72
4,12,6.70
4,16,6.31
4,20,9.03
4,24,11.58
4,28,34364.28
4,32,27137.72
4,36,32381.46
4,40,20604.75
4,44,12284.20
4,48,18606.12
0,4,32.01
0,8,10.85
0,12,2750.63
0,16,7.76
0,20,4911.19
0,24,2758.87
0,28,2801.46
0,32,10211.09
0,36,18137.11
0,40,22610.04
0,44,12144.33
0,48,2611.97
1,4,10689.19
1,8,25.16
1,12,38.26
1,16,59.92
1,20,63.86
1,24,76.62
1,28,9892.59
1,32,1852.89
1,36,7546.37
1,40,8055.50
1,44,1745.18
1,48,1451.78
2,4,14.44
2,8,206.98
2,12,380.07
2,16,580.39
2,20,854.45
2,24,961.38
2,28,909.09
2,32,1302.84
2,36,1506.84
2,40,1704.65
2,44,1910.72
2,48,2222.26
4,4,4230.65
4,8,15.17
4,12,5.08
4,16,5.67
4,20,9.15
4,24,9.17
4,28,36804.95
4,32,44014.13
4,36,23711.72
4,40,17159.34
4,44,13107.43
4,48,15769.97
0,4,7654.72
0,8,4.74
0,12,2729.88
0,16,7.88
