Algorithm,Processors,Size(bytes),Avg_Latency(us)
1,8,32,1.78
1,8,64,0.93
1,8,128,9.21
1,8,256,6.65
1,8,512,13.54
1,8,1024,8.43
1,8,2048,16.89
1,8,4096,17.77
1,8,8192,23.14
1,8,16384,7.10
1,8,32768,11.11
1,8,65536,24.88
1,8,131072,45.00
1,8,262144,127.88
1,8,524288,217.70
1,8,1048576,446.82
1,16,1,1516.76
1,16,2,3.27
1,16,4,4.31
1,16,8,4.29
1,16,16,2.41
1,16,32,1.53
1,16,64,1.84
1,16,128,13.29
1,16,256,12.12
1,16,512,13.79
1,16,1024,16.74
1,16,2048,20.27
1,16,4096,33.67
1,16,8192,36.34
1,16,16384,12.57
1,16,32768,23.95
1,16,65536,54.75
1,16,131072,109.99
1,16,262144,230.89
1,16,524288,502.16
1,16,1048576,1062.18
1,32,1,9.09
1,32,2,7.59
1,32,4,3.97
1,32,8,3.37
1,32,16,4.44
1,32,32,4.52
1,32,64,4.14
1,32,128,29.52
1,32,256,28.90
1,32,512,31.20
1,32,1024,39.24
1,32,2048,48.63
1,32,4096,70.89
1,32,8192,81.19
1,32,16384,24.13
1,32,32768,42.30
1,32,65536,99.44
1,32,131072,222.73
1,32,262144,432.42
1,32,524288,916.03
1,32,1048576,1746.73
1,48,1,20.35
1,48,2,3.50
1,48,4,6.30
1,48,8,5.06
1,48,16,4.73
1,48,32,5.89
1,48,64,7.73
1,48,128,42.93
1,48,256,43.16
1,48,512,43.28
1,48,1024,52.29
1,48,2048,71.10
1,48,4096,97.78
1,48,8192,129.73
1,48,16384,34.95
1,48,32768,76.93
1,48,65536,160.27
1,48,131072,367.71
1,48,262144,754.60
1,48,524288,1634.43
1,48,1048576,3064.08
1,64,1,9.74
1,64,2,18.92
1,64,4,4.88
1,64,8,5.15
1,64,16,5.07
1,64,32,4.80
1,64,64,11.94
1,64,128,79.88
1,64,256,69.74
1,64,512,53.63
1,64,1024,58.19
1,64,2048,85.77
1,64,4096,124.22
1,64,8192,183.59
1,64,16384,58.40
1,64,32768,89.64
1,64,65536,217.27
1,64,131072,487.53
1,64,262144,1043.14
1,64,524288,2270.93
1,64,1048576,4992.22
1,96,1,18.24
1,96,2,78.62
1,96,4,12.29
1,96,8,10.36
1,96,16,10.58
1,96,32,11.61
1,96,64,14.24
1,96,128,108.00
1,96,256,89.63
1,96,512,94.04
1,96,1024,110.09
1,96,2048,160.08
1,96,4096,211.46
1,96,8192,279.37
1,96,16384,76.92
1,96,32768,183.04
1,96,65536,501.66
1,96,131072,954.21
1,96,262144,2380.37
1,96,524288,4053.40
1,96,1048576,7773.46
1,128,1,10.68
1,128,2,119.28
1,128,4,16.61
1,128,8,13.04
1,128,16,14.50
1,128,32,20.48
1,128,64,19.46
1,128,128,140.57
1,128,256,128.25
1,128,512,117.68
1,128,1024,142.08
1,128,2048,207.18
1,128,4096,283.57
1,128,8192,361.86
1,128,16384,111.38
1,128,32768,231.44
1,128,65536,672.71
1,128,131072,1899.71
1,128,262144,3530.01
1,128,524288,6476.30
1,128,1048576,12525.38
1,176,1,4.51
1,176,2,103.35
1,176,4,33.05
1,176,8,22.14
1,176,16,23.67
1,176,32,38.10
1,176,64,29.59
1,176,128,203.97
1,176,256,225.13
1,176,512,144.86
1,176,1024,187.82
1,176,2048,271.94
1,176,4096,393.31
1,176,8192,467.88
1,176,16384,108.92
1,176,32768,202.73
1,176,65536,612.75
1,176,131072,1232.68
1,176,262144,2979.35
1,176,524288,4973.97
1,176,1048576,9400.73
1,224,1,1.56
1,224,2,110.87
1,224,4,44.20
1,224,8,34.62
1,224,16,34.34
1,224,32,36.98
1,224,64,43.71
1,224,128,221.42
1,224,256,241.71
1,224,512,200.47
1,224,1024,206.14
1,224,2048,272.59
1,224,4096,471.00
1,224,8192,555.09
1,224,16384,130.76
1,224,32768,239.55
1,224,65536,641.07
1,224,131072,1767.81
1,224,262144,2861.52
1,224,524288,8283.76
1,224,1048576,15588.45
1,256,1,53.90
1,256,2,37.02
1,256,4,34.55
1,256,8,34.05
1,256,16,36.54
1,256,32,37.80
1,256,64,38.60
1,256,128,175.24
1,256,256,337.11
1,256,512,186.98
1,256,1024,251.24
1,256,2048,272.82
1,256,4096,494.96
1,256,8192,615.51
1,256,16384,156.95
1,256,32768,246.98
1,256,65536,581.71
1,256,131072,1374.92
1,256,262144,2712.57
1,256,524288,5650.82
1,256,1048576,13572.46
2,2,1,2.19
2,2,2,0.22
2,2,4,0.20
2,2,8,0.18
2,2,16,0.18
2,2,32,0.19
2,2,64,0.17
2,2,128,1.35
2,2,256,11.81
2,2,512,1.29
2,2,1024,1.58
2,2,2048,1.45
2,2,4096,5.63
2,2,8192,4.55
2,2,16384,5.33
2,2,32768,6.78
2,2,65536,8.50
2,2,131072,15.52
2,2,262144,23.70
2,2,524288,44.56
2,2,1048576,87.70
2,4,1,2.27
2,4,2,0.23
2,4,4,0.21
2,4,8,0.18
2,4,16,0.17
2,4,32,1.35
2,4,64,0.18
2,4,128,2.55
2,4,256,3.95
2,4,512,2.56
2,4,1024,2.60
2,4,2048,5.04
2,4,4096,7.43
2,4,8192,9.51
2,4,16384,5.65
2,4,32768,7.04
2,4,65536,11.40
2,4,131072,21.42
2,4,262144,44.52
2,4,524288,97.84
2,4,1048576,197.88
2,8,1,53.99
2,8,2,0.79
2,8,4,1.91
2,8,8,0.86
2,8,16,1.23
2,8,32,1.45
2,8,64,0.79
2,8,128,4.88
2,8,256,5.58
2,8,512,5.41
2,8,1024,7.14
2,8,2048,9.73
2,8,4096,14.90
2,8,8192,18.25
2,8,16384,11.61
2,8,32768,16.30
2,8,65536,25.64
2,8,131072,51.59
2,8,262144,107.47
2,8,524288,235.75
2,8,1048576,567.17
2,16,1,162.59
2,16,2,2.13
2,16,4,3.03
2,16,8,1.96
2,16,16,1.65
2,16,32,1.15
2,16,64,2.62
2,16,128,8.41
2,16,256,13.10
2,16,512,8.44
2,16,1024,8.69
2,16,2048,12.80
2,16,4096,19.39
2,16,8192,22.38
2,16,16384,23.92
2,16,32768,34.23
2,16,65536,44.56
2,16,131072,105.41
2,16,262144,198.86
2,16,524288,415.84
2,16,1048576,995.20
2,32,1,10.99
2,32,2,5.15
2,32,4,2.78
2,32,8,2.70
2,32,16,3.26
2,32,32,2.41
2,32,64,3.63
2,32,128,13.57
2,32,256,13.51
2,32,512,12.61
2,32,1024,15.88
2,32,2048,23.25
2,32,4096,29.71
2,32,8192,34.52
2,32,16384,34.48
2,32,32768,177.53
2,32,65536,81.68
2,32,131072,157.42
2,32,262144,292.14
2,32,524288,842.15
2,32,1048576,1206.07
2,48,1,16.25
2,48,2,4.74
2,48,4,6.15
2,48,8,4.23
2,48,16,4.89
2,48,32,4.59
2,48,64,4.49
2,48,128,23.39
2,48,256,18.39
2,48,512,18.96
2,48,1024,19.95
2,48,2048,29.35
2,48,4096,44.89
2,48,8192,47.53
2,48,16384,48.47
2,48,32768,66.83
2,48,65536,108.86
2,48,131072,197.35
2,48,262144,393.75
2,48,524288,764.12
2,48,1048576,1490.95
2,64,1,4.28
2,64,2,9.97
2,64,4,4.08
2,64,8,4.03
2,64,16,3.63
2,64,32,4.52
2,64,64,8.92
2,64,128,33.12
2,64,256,25.88
2,64,512,23.65
2,64,1024,23.84
2,64,2048,27.39
2,64,4096,45.60
2,64,8192,57.59
2,64,16384,73.88
2,64,32768,79.09
2,64,65536,132.66
2,64,131072,263.05
2,64,262144,445.80
2,64,524288,894.75
2,64,1048576,1806.03
2,96,1,7.65
2,96,2,37.31
2,96,4,5.73
2,96,8,5.62
2,96,16,5.61
2,96,32,6.37
2,96,64,7.04
2,96,128,50.27
2,96,256,41.99
2,96,512,37.97
2,96,1024,51.26
2,96,2048,56.08
2,96,4096,67.19
2,96,8192,81.59
2,96,16384,88.30
2,96,32768,119.39
2,96,65536,170.78
2,96,131072,347.23
2,96,262144,698.70
2,96,524288,1359.35
2,96,1048576,2625.06
2,128,1,8.47
2,128,2,43.76
2,128,4,8.39
2,128,8,7.43
2,128,16,15.84
2,128,32,9.01
2,128,64,9.01
2,128,128,67.78
2,128,256,46.53
2,128,512,43.53
2,128,1024,57.53
2,128,2048,68.52
2,128,4096,108.72
2,128,8192,104.03
2,128,16384,466.94
2,128,32768,156.56
2,128,65536,226.67
2,128,131072,472.67
2,128,262144,897.51
2,128,524288,1719.61
2,128,1048576,3400.66
2,176,1,4080.94
2,176,2,43.19
2,176,4,20.53
2,176,8,11.23
2,176,16,12.66
2,176,32,12.35
2,176,64,17.81
2,176,128,86.32
2,176,256,76.83
2,176,512,73.34
2,176,1024,87.29
2,176,2048,100.60
2,176,4096,133.79
