Algorithm,Processors,Size(bytes),Avg_Latency(us)
1,12,32,1.78
1,12,64,1.40
1,12,128,15.09
1,12,256,29.27
1,12,512,24.21
1,12,1024,27.80
1,12,2048,33.38
1,12,4096,44.87
1,12,8192,55.31
1,12,16384,14.08
1,12,32768,24.54
1,12,65536,43.26
1,12,131072,84.61
1,12,262144,166.47
1,12,524288,327.56
1,12,1048576,679.39
1,16,1,2.44
1,16,2,1.76
1,16,4,8.04
1,16,8,0.57
1,16,16,1.53
1,16,32,2.08
1,16,64,1.67
1,16,128,20.06
1,16,256,22.46
1,16,512,21.98
1,16,1024,21.54
1,16,2048,31.65
1,16,4096,54.94
1,16,8192,67.51
1,16,16384,25.65
1,16,32768,36.88
1,16,65536,82.07
1,16,131072,160.32
1,16,262144,311.22
1,16,524288,636.95
1,16,1048576,1146.39
1,20,1,62.84
1,20,2,3.91
1,20,4,5.15
1,20,8,3.31
1,20,16,4.64
1,20,32,4.83
1,20,64,3.15
1,20,128,26.72
1,20,256,29.45
1,20,512,29.42
1,20,1024,34.77
1,20,2048,43.18
1,20,4096,73.52
1,20,8192,91.09
1,20,16384,28.72
1,20,32768,47.63
1,20,65536,102.45
1,20,131072,193.63
1,20,262144,392.94
1,20,524288,840.51
1,20,1048576,1600.46
1,24,1,59.84
1,24,2,25.28
1,24,4,23.26
1,24,8,7.46
1,24,16,7.73
1,24,32,8.87
1,24,64,5.46
1,24,128,64.10
1,24,256,79.18
1,24,512,66.20
1,24,1024,88.35
1,24,2048,101.81
1,24,4096,175.27
1,24,8192,226.66
1,24,16384,32.53
1,24,32768,67.86
1,24,65536,136.48
1,24,131072,275.87
1,24,262144,532.00
1,24,524288,1080.68
1,24,1048576,1787.95
1,28,1,22.78
1,28,2,16.65
1,28,4,2.40
1,28,8,3.25
1,28,16,3.57
1,28,32,4.76
1,28,64,2.14
1,28,128,45.11
1,28,256,45.76
1,28,512,36.56
1,28,1024,57.20
1,28,2048,59.39
1,28,4096,103.83
1,28,8192,135.19
1,28,16384,29.83
1,28,32768,54.46
1,28,65536,110.99
1,28,131072,219.28
1,28,262144,422.52
1,28,524288,829.54
1,28,1048576,1689.29
1,32,1,348.48
1,32,2,7.51
1,32,4,16.05
1,32,8,2.81
1,32,16,3.28
1,32,32,4.04
1,32,64,5.73
1,32,128,39.52
1,32,256,39.92
1,32,512,45.95
1,32,1024,59.76
1,32,2048,79.11
1,32,4096,109.00
1,32,8192,147.58
1,32,16384,27.06
1,32,32768,53.44
1,32,65536,108.64
1,32,131072,181.73
1,32,262144,411.47
1,32,524288,874.55
1,32,1048576,1525.11
1,36,1,11.22
1,36,2,8.48
1,36,4,17.82
1,36,8,4.52
1,36,16,5.01
1,36,32,5.57
1,36,64,9.89
1,36,128,44.94
1,36,256,52.17
1,36,512,49.47
1,36,1024,58.23
1,36,2048,85.46
1,36,4096,114.08
1,36,8192,155.42
1,36,16384,32.97
1,36,32768,56.72
1,36,65536,109.66
1,36,131072,208.58
1,36,262144,420.33
1,36,524288,750.15
1,36,1048576,1554.04
1,40,1,4.43
1,40,2,10.29
1,40,4,13.65
1,40,8,4.59
1,40,16,4.88
1,40,32,5.12
1,40,64,8.99
1,40,128,45.00
1,40,256,43.68
1,40,512,58.16
1,40,1024,61.99
1,40,2048,88.58
1,40,4096,122.85
1,40,8192,163.96
1,40,16384,32.72
1,40,32768,62.10
1,40,65536,116.21
1,40,131072,218.52
1,40,262144,438.43
1,40,524288,877.98
1,40,1048576,1660.32
1,44,1,4.34
1,44,2,17.80
1,44,4,15.64
1,44,8,5.30
1,44,16,11.24
1,44,32,5.35
1,44,64,10.87
1,44,128,50.06
1,44,256,50.52
1,44,512,57.72
1,44,1024,74.32
1,44,2048,112.09
1,44,4096,133.70
1,44,8192,193.45
1,44,16384,37.01
1,44,32768,71.85
1,44,65536,134.07
1,44,131072,235.64
1,44,262144,474.49
1,44,524288,882.25
1,44,1048576,1834.09
1,48,1,5.89
1,48,2,11.46
1,48,4,14.08
1,48,8,6.78
1,48,16,5.26
1,48,32,7.43
1,48,64,10.56
1,48,128,48.25
1,48,256,51.98
1,48,512,54.68
1,48,1024,70.47
1,48,2048,103.58
1,48,4096,129.05
1,48,8192,181.50
1,48,16384,40.87
1,48,32768,75.34
1,48,65536,154.46
1,48,131072,253.62
1,48,262144,507.64
1,48,524288,966.62
1,48,1048576,1913.95
2,4,1,1.83
2,4,2,0.28
2,4,4,0.27
2,4,8,0.38
2,4,16,0.24
2,4,32,0.49
2,4,64,0.30
2,4,128,5.29
2,4,256,7.48
2,4,512,5.55
2,4,1024,6.07
2,4,2048,10.22
2,4,4096,16.28
2,4,8192,21.95
2,4,16384,7.37
2,4,32768,11.98
2,4,65536,16.61
2,4,131072,27.63
2,4,262144,54.78
2,4,524288,101.23
2,4,1048576,216.06
2,8,1,3.29
2,8,2,0.58
2,8,4,3.04
2,8,8,1.59
2,8,16,0.54
2,8,32,0.71
2,8,64,0.85
2,8,128,7.93
2,8,256,7.53
2,8,512,7.86
2,8,1024,13.23
2,8,2048,14.57
2,8,4096,23.87
2,8,8192,30.75
2,8,16384,14.30
2,8,32768,17.01
2,8,65536,28.96
2,8,131072,54.33
2,8,262144,103.67
2,8,524288,202.68
2,8,1048576,403.64
2,12,1,85.92
2,12,2,6.30
2,12,4,9.78
2,12,8,5.32
2,12,16,6.03
2,12,32,5.97
2,12,64,9.19
2,12,128,23.17
2,12,256,39.78
2,12,512,32.58
2,12,1024,33.06
2,12,2048,43.48
2,12,4096,68.93
2,12,8192,73.98
2,12,16384,23.20
2,12,32768,29.28
2,12,65536,40.69
2,12,131072,69.12
2,12,262144,133.17
2,12,524288,267.34
2,12,1048576,532.33
2,16,1,2.24
2,16,2,1.43
2,16,4,13.77
2,16,8,1.34
2,16,16,1.34
2,16,32,1.68
2,16,64,3.21
2,16,128,11.99
2,16,256,11.38
2,16,512,12.11
2,16,1024,12.80
2,16,2048,21.32
2,16,4096,35.15
2,16,8192,41.47
2,16,16384,28.36
2,16,32768,36.80
2,16,65536,64.12
2,16,131072,134.97
2,16,262144,236.37
2,16,524288,448.97
2,16,1048576,836.38
2,20,1,59.61
2,20,2,4.84
2,20,4,4.90
2,20,8,3.68
2,20,16,4.13
2,20,32,3.83
2,20,64,4.54
2,20,128,14.88
2,20,256,19.83
2,20,512,22.29
2,20,1024,19.63
2,20,2048,24.22
2,20,4096,46.40
2,20,8192,51.11
2,20,16384,27.96
2,20,32768,38.80
2,20,65536,65.97
2,20,131072,120.76
2,20,262144,240.66
2,20,524288,467.78
2,20,1048576,838.54
2,24,1,43.66
2,24,2,18.45
2,24,4,4.17
2,24,8,3.32
2,24,16,3.96
2,24,32,3.70
2,24,64,4.40
2,24,128,16.35
2,24,256,23.06
2,24,512,28.10
2,24,1024,23.68
2,24,2048,27.56
2,24,4096,50.93
2,24,8192,60.59
2,24,16384,40.93
2,24,32768,45.25
2,24,65536,77.67
2,24,131072,132.61
2,24,262144,247.80
2,24,524288,486.97
2,24,1048576,971.95
2,28,1,475.91
2,28,2,8.38
2,28,4,5.87
2,28,8,3.51
2,28,16,3.91
2,28,32,3.72
2,28,64,5.13
2,28,128,20.00
2,28,256,27.47
2,28,512,24.91
2,28,1024,26.95
2,28,2048,33.50
2,28,4096,55.88
2,28,8192,69.86
2,28,16384,39.02
2,28,32768,51.35
2,28,65536,84.93
2,28,131072,139.48
2,28,262144,272.67
2,28,524288,532.42
2,28,1048576,1008.15
2,32,1,4670.53
2,32,2,6.71
2,32,4,7.69
2,32,8,3.39
2,32,16,2.62
2,32,32,2.62
2,32,64,4.17
2,32,128,18.64
2,32,256,23.27
2,32,512,19.16
2,32,1024,24.64
2,32,2048,43.17
2,32,4096,50.93
2,32,8192,71.26
2,32,16384,37.07
2,32,32768,49.65
2,32,65536,79.19
2,32,131072,140.07
2,32,262144,247.48
2,32,524288,473.48
2,32,1048576,964.89
2,36,1,2851.07
2,36,2,8.63
2,36,4,9.25
2,36,8,4.74
2,36,16,4.45
2,36,32,5.22
2,36,64,5.39
2,36,128,20.33
2,36,256,20.18
2,36,512,27.02
2,36,1024,29.11
2,36,2048,47.85
2,36,4096,57.72
2,36,8192,76.24
2,36,16384,43.85
2,36,32768,55.92
2,36,65536,88.42
2,36,131072,153.84
2,36,262144,281.78
2,36,524288,565.90
2,36,1048576,1085.52
2,40,1,1858.81
2,40,2,11.93
2,40,4,11.37
2,40,8,5.53
2,40,16,4.21
2,40,32,4.70
2,40,64,5.74
2,40,128,21.57
2,40,256,20.97
2,40,512,25.45
2,40,1024,32.55
2,40,2048,50.38
2,40,4096,61.00
2,40,8192,81.39
2,40,16384,48.56
2,40,32768,60.01
2,40,65536,93.03
2,40,131072,163.40
2,40,262144,303.81
2,40,524288,582.32
2,40,1048576,1142.96
2,44,1,9314.50
2,44,2,6.92
2,44,4,10.55
2,44,8,4.41
2,44,16,3.87
2,44,32,4.62
2,44,64,5.90
2,44,128,22.12
2,44,256,24.69
2,44,512,25.90
2,44,1024,31.87
2,44,2048,50.62
2,44,4096,68.37
2,44,8192,83.80
2,44,16384,50.65
2,44,32768,62.09
2,44,65536,98.37
2,44,131072,160.33
2,44,262144,320.14
2,44,524288,602.16
2,44,1048576,1195.85
2,48,1,1625.75
2,48,2,15.65
2,48,4,8.44
2,48,8,4.95
2,48,16,3.86
2,48,32,4.46
2,48,64,5.88
2,48,128,22.36
2,48,256,21.79
2,48,512,27.01
2,48,1024,34.81
2,48,2048,54.85
2,48,4096,66.38
2,48,8192,89.76
2,48,16384,54.46
2,48,32768,60.91
2,48,65536,93.81
2,48,131072,159.34
2,48,262144,295.67
2,48,524288,576.05
2,48,1048576,1164.86
5,4,1,1.24
5,4,2,0.41
5,4,4,0.32
5,4,8,0.37
5,4,16,0.35
5,4,32,1.63
5,4,64,1.57
5,4,128,4.66
5,4,256,7.21
5,4,512,4.43
5,4,1024,7.46
5,4,2048,9.42
5,4,4096,13.50
5,4,8192,21.15
5,4,16384,8.96
5,4,32768,15.51
5,4,65536,18.43
5,4,131072,30.72
5,4,262144,51.87
5,4,524288,100.14
5,4,1048576,194.02
5,8,1,9.81
5,8,2,5.66
5,8,4,7.29
5,8,8,0.78
5,8,16,0.71
5,8,32,0.80
5,8,64,0.93
5,8,128,7.75
5,8,256,7.55
5,8,512,7.71
5,8,1024,14.61
5,8,2048,15.11
5,8,4096,23.48
5,8,8192,33.86
5,8,16384,14.30
5,8,32768,20.59
5,8,65536,33.64
5,8,131072,58.81
5,8,262144,106.35
5,8,524288,209.02
5,8,1048576,385.72
5,12,1,32.54
5,12,2,2.00
5,12,4,3.55
5,12,8,1.94
5,12,16,1.84
5,12,32,1.90
5,12,64,3.06
5,12,128,9.80
5,12,256,23.95
5,12,512,19.20
5,12,1024,18.99
5,12,2048,26.57
5,12,4096,33.93
5,12,8192,40.04
5,12,16384,18.38
5,12,32768,25.30
5,12,65536,41.06
5,12,131072,70.48
5,12,262144,132.24
5,12,524288,265.57
5,12,1048576,547.16
5,16,1,2.00
5,16,2,1.53
5,16,4,4.56
5,16,8,1.06
5,16,16,1.43
5,16,32,1.74
5,16,64,1.63
5,16,128,11.58
5,16,256,10.71
5,16,512,11.51
5,16,1024,13.19
5,16,2048,19.54
5,16,4096,33.12
5,16,8192,39.28
5,16,16384,24.41
5,16,32768,30.23
5,16,65536,56.70
5,16,131072,105.75
5,16,262144,191.48
5,16,524288,373.92
5,16,1048576,695.29
5,20,1,63.42
5,20,2,5.07
5,20,4,6.79
5,20,8,4.05
5,20,16,4.79
5,20,32,4.18
5,20,64,10.90
5,20,128,16.09
5,20,256,18.49
5,20,512,16.67
5,20,1024,22.04
5,20,2048,26.53
5,20,4096,45.11
5,20,8192,57.60
5,20,16384,40.99
5,20,32768,40.49
5,20,65536,71.34
5,20,131072,133.49
5,20,262144,245.58
5,20,524288,492.85
5,20,1048576,916.82
5,24,1,47.12
5,24,2,10.45
5,24,4,5.64
5,24,8,5.81
5,24,16,3.56
5,24,32,3.59
5,24,64,5.82
5,24,128,15.08
5,24,256,19.36
5,24,512,15.18
5,24,1024,21.96
5,24,2048,24.52
5,24,4096,45.77
5,24,8192,67.33
5,24,16384,31.38
5,24,32768,43.75
5,24,65536,70.92
5,24,131072,135.22
5,24,262144,257.47
5,24,524288,495.23
5,24,1048576,942.06
5,28,1,74.77
5,28,2,9.38
5,28,4,3.56
5,28,8,2.90
5,28,16,3.15
5,28,32,3.30
5,28,64,5.48
